,station_id,lat,lng,pickup_count,dropoff_count,total_trips,cluster
191,3659,40.7429489166009,-74.00413691997528,33172,34401,67573,29
192,345,40.73649403,-73.99704374,33608,33715,67323,2
193,470,40.74345335,-74.00004031,33328,33706,67034,29
194,257,40.71939226,-74.00247214,33072,33764,66836,28
195,350,40.71559509,-73.9870295,33385,33342,66727,17
196,439,40.7262807,-73.98978041,33209,33446,66655,9
197,279,40.707873,-74.00166999999999,32772,33566,66338,12
198,3374,40.799484,-73.955613,32067,33901,65968,21
199,485,40.75038009,-73.98338988,33030,32755,65785,26
200,423,40.76584941,-73.98690506,32867,32906,65773,11
201,502,40.714215,-73.981346,32470,32510,64980,17
202,309,40.7149787,-74.013012,31920,33034,64954,28
203,311,40.7172274,-73.98802084,32214,32436,64650,17
204,3160,40.77896784,-73.97374737,33338,30737,64075,16
205,484,40.75500254,-73.98014437,31214,31675,62889,4
206,369,40.73224119,-74.00026394,31185,31517,62702,2
207,440,40.75255434,-73.97282625,31264,31361,62625,4
208,3156,40.76663814,-73.95348296,31022,31121,62143,15
209,259,40.70122128,-74.01234218,30590,31174,61764,12
210,441,40.756014,-73.967416,30628,30710,61338,4
211,2000,40.70255088,-73.98940236,29411,31892,61303,20
212,3687,40.74322681432173,-73.97449783980845,30555,30525,61080,26
213,3459,40.75763227739443,-73.9693057537079,30228,30287,60515,4
214,3431,40.746524,-73.977885,30184,30282,60466,26
215,3112,40.72906,-73.95779,29636,30685,60321,22
216,164,40.75323098,-73.97032517,29952,29963,59915,4
217,3090,40.71774592,-73.95600096,29135,30329,59464,27
218,455,40.75001986,-73.96905301,29563,29759,59322,4
219,513,40.768254,-73.988639,29453,29441,58894,11
220,150,40.7208736,-73.98085795,27891,30539,58430,17
221,422,40.770513,-73.988038,29435,28967,58402,16
222,146,40.71625008,-74.0091059,28993,29352,58345,28
223,3360,40.7829391,-73.9786517,29444,28533,57977,16
224,3440,40.692418292578466,-73.98949474096298,28549,28437,56986,20
225,3171,40.78524672,-73.97667321,28800,27625,56425,16
226,3674,40.70140317257725,-73.98672670125961,27603,28619,56222,20
227,324,40.689888,-73.981013,22119,34062,56181,20
228,473,40.72110063,-73.99192540000001,27412,28067,55479,17
229,3161,40.7801839724239,-73.97728532552719,31104,24113,55217,16
230,3173,40.777507027547976,-73.98888587951659,27486,27500,54986,16
231,79,40.71911552,-74.00666661,27194,27557,54751,28
232,3680,40.754120810779256,-73.98025184869765,27264,27182,54446,4
233,3658,40.7435337324616,-74.00367558002472,27057,27362,54419,29
234,3107,40.72311651,-73.95212324,26682,26789,53471,10
235,295,40.71406667,-73.99293911,26582,26699,53281,17
236,280,40.73331967,-73.99510132,26431,26739,53170,2
237,238,40.7361967,-74.00859207,26437,26704,53141,29
238,3684,40.73756121181137,-74.00398269295692,26427,26668,53095,29
239,247,40.73535398,-74.00483091,26305,26441,52746,29
240,3423,40.6610633719006,-73.97945255041121,26272,26358,52630,13
241,228,40.7546011026,-73.971878855,26196,26321,52517,4
242,3259,40.74937024193277,-73.99923384189607,26169,26344,52513,29
243,3402,40.6902375,-73.99203074,26088,26348,52436,20
244,3170,40.78499979,-73.97283406,28000,24368,52368,16
245,391,40.69760127,-73.99344559,29492,22684,52176,20
246,239,40.69196566,-73.9813018,27221,24843,52064,20
247,3092,40.7190095,-73.95852515,25885,26078,51963,27
248,3226,40.78275,-73.97137,28734,23154,51888,16
249,351,40.70530954,-74.00612572,25584,26264,51848,12
250,3314,40.7937704,-73.971888,26198,25457,51655,0
251,3166,40.780577990103346,-73.98562431335448,25413,25554,50967,16
252,330,40.71450451,-74.00562789,25424,25533,50957,28
253,3129,40.75110165,-73.94073717,25225,25329,50554,3
254,3283,40.7882213,-73.97041561,28321,22108,50429,0
255,3243,40.75892386377695,-73.96226227283478,25141,25218,50359,4
256,427,40.701907,-74.013942,24831,25525,50356,12
257,3175,40.77748046,-73.98288594,25593,24702,50295,16
258,386,40.71494807,-74.00234482,24841,24955,49796,28
259,467,40.68312489,-73.97895137,24979,24731,49710,24
260,3372,40.7689738,-73.95482273,24696,24893,49589,15
261,3132,40.76350532,-73.97109243,24869,24684,49553,4
262,357,40.73261787,-73.99158043,24514,24517,49031,2
263,320,40.717571,-74.005549,24313,24477,48790,28
264,3635,40.754623240291046,-73.99516761302948,24244,24385,48629,11
265,3521,40.7987859,-73.9523,23992,24521,48513,21
